Age,Gender,Income,Education,Marital Status,Number of Children,Home Ownership,Credit Score,Debt,Payment History,Customer Code
32,Male,57500,Associate's Degree,Single,0,Rented,Average,39299,Unknown,CUST0149
37,Female,72500,Bachelor's Degree,Married,2,Owned,High,12874,Good,CUST0150
42,Male,100000,Master's Degree,Single,0,Owned,High,5539,Good,CUST0151
47,Female,90000,Doctorate,Married,1,Owned,High,28499,Excellent,CUST0152
52,Male,130000,High School Diploma,Married,0,Owned,High,27759,Excellent,CUST0153
28,Female,32500,Associate's Degree,Single,0,Rented,Low,273090,Poor,CUST0154
33,Male,52500,High School Diploma,Single,0,Rented,Average,78497,Unknown,CUST0155
38,Female,67500,Bachelor's Degree,Married,2,Owned,High,14207,Excellent,CUST0156
43,Male,92500,Master's Degree,Single,0,Owned,High,11969,Excellent,CUST0157
48,Female,82500,Doctorate,Married,1,Owned,High,28367,Good,CUST0158
53,Male,122500,Associate's Degree,Married,0,Owned,High,28643,Good,CUST0159
29,Female,27500,High School Diploma,Single,0,Rented,Low,83328,Poor,CUST0160
34,Male,47500,Associate's Degree,Single,0,Rented,Average,96831,Unknown,CUST0161
39,Female,62500,Bachelor's Degree,Married,2,Owned,High,3987,Excellent,CUST0162
44,Male,87500,Master's Degree,Single,0,Owned,High,13446,Good,CUST0163
49,Female,77500,Doctorate,Married,1,Owned,High,4735,Excellent,CUST0164
